Time,Voltage
0,10.483
0.00999999999999801,10.474
0.0199999999999996,10.467
0.0300000000000011,10.46
0.0399999999999991,10.452
0.0500000000000007,10.445
0.0599999999999987,10.438
0.0700000000000003,10.43
0.0799999999999983,10.422
0.0899999999999999,10.416
0.100000000000001,10.409
0.109999999999999,10.401
0.120000000000001,10.394
0.129999999999999,10.387
0.140000000000001,10.379
0.149999999999999,10.372
0.16,10.365
0.169999999999998,10.358
0.18,10.351
0.190000000000001,10.343
0.199999999999999,10.336
0.210000000000001,10.33
0.219999999999999,10.322
0.23,10.315
0.239999999999998,10.308
0.25,10.301
0.259999999999998,10.294
0.27,10.287
0.280000000000001,10.279
0.289999999999999,10.272
0.300000000000001,10.266
0.309999999999999,10.258
0.32,10.251
0.329999999999998,10.244
0.34,10.237
0.350000000000001,10.23
0.359999999999999,10.223
0.370000000000001,10.216
0.379999999999999,10.209
0.390000000000001,10.202
0.399999999999999,10.196
0.41,10.189
0.419999999999998,10.182
0.43,10.174
0.440000000000001,10.168
0.449999999999999,10.161
0.460000000000001,10.154
0.469999999999999,10.147
0.48,10.14
0.489999999999998,10.133
0.5,10.126
0.509999999999998,10.119
0.52,10.112
0.530000000000001,10.105
0.539999999999999,10.099
0.550000000000001,10.092
0.559999999999999,10.085
0.57,10.078
0.579999999999998,10.071
0.59,10.064
0.600000000000001,10.057
0.609999999999999,10.051
0.620000000000001,10.044
0.629999999999999,10.038
0.640000000000001,10.031
0.649999999999999,10.024
0.66,10.017
0.669999999999998,10.011
0.68,10.003
0.690000000000001,9.997
0.699999999999999,9.99
0.710000000000001,9.983
0.719999999999999,9.977
0.73,9.97
0.739999999999998,9.963
0.75,9.956
0.759999999999998,9.95
0.77,9.943
0.780000000000001,9.936
0.789999999999999,9.93
0.800000000000001,9.923
0.809999999999999,9.916
0.82,9.91
0.829999999999998,9.903
0.84,9.897
0.850000000000001,9.89
0.859999999999999,9.883
0.870000000000001,9.877
0.879999999999999,9.87
0.890000000000001,9.863
0.899999999999999,9.856
0.91,9.85
0.919999999999998,9.843
